,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,Title,Description
0,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,Apple promotion may signal new products: Analyst,"A C-suite promotion for one of Apple's most celebrated employees could be a powerful signal that a ""slew of new products"" are on the horizon for the world's largest company, according to Dan Ives,"
1,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,"Apple re-crowned world's top brand—but watch Alibaba, Facebook","Apple has reclaimed its crown as the world's most valuable brand, worth a staggering $247 billion, according to WPP and Millward Brown. The tech behemoth triumphed in the advertising agencies"
2,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,CBS's Moonves expects deal with Apple on TV,"CBS is in talks with Apple about offering content on Apple's revamped TV offering, CBS CEO Les Moonves said Wednesday. When asked whether he would consider a deal with Apple—which is working to "
3,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,Apple Watch debut 'less than spectacular': Analyst,"While Apple's head of operations, Jeff Williams, has called the response to the Apple Watch ""fantastic,"" analyst Alex Gauna said the wearable's debut has been ""less than spectacular."" Williams"
4,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,Icahn's Apple bet is all about buybacks,"Of all the obstacles that could impede investor Carl Icahn's hopes for Apple shares to double in value, one of the most overlooked may be a 68-year-old economist who has spent a fair amount of tim"
5,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,Rich Chinese man buys 2 gold Apple watches for dog,The Apple Watch is going to the dogs—or at least one very privileged pooch in China. The son of China's richest man touched off an Internet firestorm Tuesday after posting a photo of his Siberian 
6,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,This Apple glitch allows you to turn off anyone's iPhone,"An issue with Apple's latest iOS software allows users to send a specific string of characters via text to shut down an iPhone remotely. The message also affects the Apple Watch, if associated w"
7,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,"Apple China conditions not so bad, exec says","Apple's working conditions in China are improving, and were never as bad as media reports suggested, according to senior executive Jeff Williams. (Tweet This) ""I couldn't be prouder of the work "
8,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,"Chevy gets ready to plug in with Apple, Google tech",General Motors CEO Mary Barra has a keynote spot at Code Conference for a reason. Barra announced on Wednesday that GM is bringing connected car technology from Apple and Google into 14 Chevrole
9,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,"Apple Watch, less than spectacular: Pro","Alex Gauna, JPM Securities, and Amish Shah, Sierra Maya 360, give perspective to the Apple Watch. Apple is a way of life, says Shah."
10,0,AAPL,2015-05-27,132.045,132.26,130.05,130.34,45833246,121.6825575315,121.8806850628,119.8441183458,120.1113601322,45833246,0.0,1.0,Cramer's Stop Trading: Apple,CNBC's Jim Cramer explains why he is focusing on the Apple Watch.
